Date,Open,High,Low,Close,Adj Close,Volume
23-05-02,1.156429,1.242857,1.145714,1.196429,1.196429,104790000
24-05-02,1.214286,1.225000,1.197143,1.210000,1.210000,11104800
28-05-02,1.213571,1.232143,1.157143,1.157143,1.157143,6609400
29-05-02,1.164286,1.164286,1.085714,1.103571,1.103571,6757800
30-05-02,1.107857,1.107857,1.071429,1.071429,1.071429,10154200
31-05-02,1.078571,1.078571,1.071429,1.076429,1.076429,8464400
03-06-02,1.080000,1.149286,1.076429,1.128571,1.128571,3151400
04-06-02,1.135714,1.140000,1.110714,1.117857,1.117857,3105200
05-06-02,1.110714,1.159286,1.107143,1.147143,1.147143,1531600
06-06-02,1.150000,1.232143,1.148571,1.182143,1.182143,2305800
07-06-02,1.177857,1.177857,1.103571,1.118571,1.118571,1369200
10-06-02,1.135000,1.175000,1.134286,1.156429,1.156429,484400
11-06-02,1.156429,1.188571,1.128571,1.153571,1.153571,1003800
12-06-02,1.153571,1.182143,1.089286,1.092857,1.092857,1799000
13-06-02,1.104286,1.122143,1.080000,1.082857,1.082857,2567600
14-06-02,1.082143,1.085714,0.980000,0.986429,0.986429,4783800
17-06-02,1.013571,1.059286,0.917857,0.922143,0.922143,4855200
18-06-02,0.938571,0.939286,0.842143,0.910714,0.910714,10808000
19-06-02,0.911429,0.996429,0.892857,0.951429,0.951429,5482400
20-06-02,0.971429,1.040000,0.950000,0.957143,0.957143,6111000
21-06-02,0.982143,0.989286,0.947857,0.979286,0.979286,2346400
24-06-02,0.979286,1.014286,0.957143,0.978571,0.978571,2567600
25-06-02,0.988571,1.007143,0.947143,0.964286,0.964286,3941000
26-06-02,0.963571,0.996429,0.921429,0.988571,0.988571,2924600
27-06-02,1.009286,1.018571,0.942857,0.943571,0.943571,3817800
28-06-02,0.960714,1.013571,0.960714,0.999286,0.999286,9234400
01-07-02,1.000000,1.046429,0.992857,1.027857,1.027857,4585000
02-07-02,1.053571,1.195000,1.039286,1.172857,1.172857,9020200
03-07-02,1.178571,1.214286,1.117857,1.214286,1.214286,4957400
05-07-02,1.214286,1.299286,1.213571,1.276429,1.276429,2003400
08-07-02,1.252143,1.252143,1.167857,1.175714,1.175714,1953000
09-07-02,1.175000,1.196429,1.114286,1.160714,1.160714,2935800
10-07-02,1.161429,1.178571,1.132143,1.163571,1.163571,1554000
11-07-02,1.154286,1.278571,1.132857,1.269286,1.269286,2529800
12-07-02,1.278571,1.280000,1.207143,1.207857,1.207857,2837800
15-07-02,1.242857,1.248571,1.076429,1.142857,1.142857,4239200
16-07-02,1.152857,1.157143,1.104286,1.126429,1.126429,1941800
17-07-02,1.145000,1.163571,1.075714,1.089286,1.089286,1261400
18-07-02,1.117143,1.166429,1.110714,1.149286,1.149286,2899400
19-07-02,1.152857,1.160714,1.122143,1.160000,1.160000,1792000
22-07-02,1.135714,1.179286,1.115000,1.170714,1.170714,1993600
23-07-02,1.176429,1.213571,1.130714,1.146429,1.146429,1577800
24-07-02,1.146429,1.159286,1.074286,1.114286,1.114286,3355800
25-07-02,1.125000,1.127857,1.035000,1.036429,1.036429,4755800
26-07-02,1.050000,1.058571,0.850000,0.871429,0.871429,7046200
29-07-02,0.896429,0.924286,0.850000,0.876429,0.876429,3260600
30-07-02,0.893571,0.942857,0.893571,0.914286,0.914286,3777200
31-07-02,0.928571,0.960000,0.905714,0.953571,0.953571,3333400
01-08-02,0.950000,0.960000,0.877857,0.891429,0.891429,4529000
02-08-02,0.886429,0.887857,0.706429,0.777857,0.777857,6655600
05-08-02,0.778571,0.812857,0.760714,0.775000,0.775000,3808000
06-08-02,0.795714,0.803571,0.742857,0.760714,0.760714,3217200
07-08-02,0.760714,0.793571,0.742857,0.793571,0.793571,2758000
08-08-02,0.796429,0.803571,0.750714,0.796429,0.796429,2283400
09-08-02,0.798571,0.821429,0.778571,0.787143,0.787143,1500800
12-08-02,0.802857,0.807143,0.753571,0.757143,0.757143,2130800
13-08-02,0.767857,0.805000,0.754286,0.772857,0.772857,1677200
14-08-02,0.775714,0.833571,0.771429,0.833571,0.833571,4047400
15-08-02,0.837143,0.910714,0.832857,0.882857,0.882857,3263400
16-08-02,0.892857,0.924286,0.857143,0.912857,0.912857,1828400
19-08-02,0.925000,0.984286,0.917857,0.982143,0.982143,2074800
20-08-02,0.985000,0.993571,0.921429,0.946429,0.946429,2539600
21-08-02,0.952857,0.971429,0.918571,0.968571,0.968571,2779000
22-08-02,0.973571,0.999286,0.929286,0.983571,0.983571,2963800
23-08-02,0.993571,0.996429,0.967857,0.993571,0.993571,2406600
26-08-02,0.996429,0.996429,0.937857,0.967857,0.967857,2644600
27-08-02,0.967857,0.967857,0.857857,0.873571,0.873571,4984000
28-08-02,0.861429,0.890000,0.825000,0.864286,0.864286,2275000
29-08-02,0.832857,0.922143,0.824286,0.903571,0.903571,2395400
30-08-02,0.914286,0.962857,0.894286,0.936429,0.936429,2121000
03-09-02,0.936429,0.963571,0.913571,0.925000,0.925000,1593200
04-09-02,0.925714,0.945714,0.907857,0.928571,0.928571,373800
05-09-02,0.917857,0.935714,0.910714,0.917857,0.917857,285600
06-09-02,0.927857,0.935714,0.910714,0.914286,0.914286,763000
09-09-02,0.919286,0.925000,0.892857,0.901429,0.901429,1419600
10-09-02,0.900714,0.950000,0.889286,0.945000,0.945000,4746000
11-09-02,0.938571,0.976429,0.938571,0.961429,0.961429,1629600
12-09-02,0.962857,0.967143,0.914286,0.925000,0.925000,1943200
13-09-02,0.921429,0.927143,0.864286,0.878571,0.878571,2485000
16-09-02,0.892143,0.892143,0.852857,0.857143,0.857143,3512600
17-09-02,0.863571,0.864286,0.825000,0.830000,0.830000,2863000
18-09-02,0.836429,0.841429,0.785000,0.787857,0.787857,1521800
19-09-02,0.785000,0.785714,0.717857,0.724286,0.724286,4978400
20-09-02,0.753571,0.767857,0.700000,0.707857,0.707857,3484600
23-09-02,0.714286,0.732143,0.705714,0.711429,0.711429,4839800
24-09-02,0.711429,0.725000,0.689286,0.717857,0.717857,3747800
25-09-02,0.724286,0.750000,0.707857,0.732143,0.732143,1457400
26-09-02,0.748571,0.782857,0.728571,0.782857,0.782857,4162200
27-09-02,0.776429,0.784286,0.712143,0.720000,0.720000,5105800
30-09-02,0.707143,0.721429,0.689286,0.692857,0.692857,4837000
01-10-02,0.709286,0.710000,0.660714,0.678571,0.678571,3850000
02-10-02,0.688571,0.688571,0.560714,0.578571,0.578571,9314200
03-10-02,0.569286,0.570000,0.489286,0.517857,0.517857,9765000
04-10-02,0.517857,0.531429,0.447143,0.468571,0.468571,8433600
07-10-02,0.450000,0.458571,0.382143,0.412143,0.412143,15724800
08-10-02,0.410714,0.427857,0.390714,0.405000,0.405000,4531800
09-10-02,0.410000,0.410714,0.347143,0.372857,0.372857,5982200
10-10-02,0.377857,0.525000,0.346429,0.506429,0.506429,13577200
11-10-02,0.508571,0.528571,0.446429,0.470714,0.470714,13281800
14-10-02,0.464286,0.535000,0.463571,0.534286,0.534286,5272400
15-10-02,0.542857,0.585714,0.542143,0.550000,0.550000,4125800
16-10-02,0.529286,0.532857,0.442857,0.459286,0.459286,5800200
17-10-02,0.472143,0.585714,0.471429,0.550000,0.550000,7481600
18-10-02,0.585714,0.735714,0.585714,0.682857,0.682857,24904600
21-10-02,0.638571,0.664286,0.608571,0.636429,0.636429,9686600
22-10-02,0.635714,0.643571,0.617857,0.625000,0.625000,4263000
23-10-02,0.625000,0.625000,0.585714,0.589286,0.589286,3539200
24-10-02,0.606429,0.606429,0.553571,0.579286,0.579286,2431800
25-10-02,0.580000,0.685000,0.567857,0.642857,0.642857,6447000
28-10-02,0.664286,0.707143,0.650000,0.685714,0.685714,5647600
29-10-02,0.675000,0.678571,0.632857,0.657143,0.657143,2004800
30-10-02,0.663571,0.665714,0.635714,0.641429,0.641429,1423800
31-10-02,0.636429,0.642857,0.623571,0.640714,0.640714,1659000
01-11-02,0.628571,0.642857,0.607143,0.638571,0.638571,2126600
04-11-02,0.642857,0.702857,0.639286,0.671429,0.671429,3589600
05-11-02,0.672143,0.676429,0.650714,0.651429,0.651429,1045800
06-11-02,0.664286,0.664286,0.612857,0.629286,0.629286,7032200
07-11-02,0.632143,0.637857,0.592857,0.592857,0.592857,2585800
08-11-02,0.605000,0.612857,0.553571,0.610714,0.610714,4922400
11-11-02,0.607143,0.607143,0.585714,0.600714,0.600714,371000
12-11-02,0.600000,0.614286,0.572143,0.577857,0.577857,2191000
13-11-02,0.579286,0.642857,0.555714,0.641429,0.641429,3231200
14-11-02,0.642857,0.645000,0.618571,0.618571,0.618571,931000
15-11-02,0.642143,0.653571,0.589286,0.650000,0.650000,2045400
18-11-02,0.648571,0.780714,0.625000,0.778571,0.778571,10061800
19-11-02,0.720000,0.720714,0.623571,0.664286,0.664286,28194600
20-11-02,0.674286,0.727857,0.660714,0.717143,0.717143,10085600
21-11-02,0.728571,0.785714,0.717857,0.785714,0.785714,10516800
